#NSGA2
popsize 50
maxGen 200
numVar 6
numObj 3
numCons 1
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 200
currentGen	1
evaluateCount	50
totalTime	18.5362
firstFrontCount	8
frontCount	5
avgEvalTime	1.28523
#end
Var1	Var2	Var3	Var4	Var5	Var6	Obj1	Obj2	Obj3	Cons1	
 2.000000000000	 0.196922174747	587.426666111060	274.669662794025	 0.000000000000	 0.000000000000	10	1	-0	1	
 1.000000000000	 0.061514468880	394.610123550781	743.993746907412	 0.000000000000	 0.000000000000	10	1	-1	1	
 2.000000000000	 0.112957522807	953.214199153937	733.931870170575	 0.000000000000	 0.000000000000	10	1	-0	1	
 1.000000000000	 0.165272426750	598.290913399063	894.699109624124	 0.000000000000	 0.000000000000	10	1	-1	2	
 1.000000000000	 0.852847300332	528.730717464828	680.726715040505	 0.000000000000	 0.000000000000	10	1	-1	1	
 2.000000000000	 0.940384491572	253.241208069672	700.268697919851	 0.000000000000	 0.000000000000	1.27087	0.628811	-0	0.5	
 1.000000000000	 0.264911490890	646.310940088368	471.381332733416	 0.000000000000	 0.000000000000	10	1	-1	2	
 1.000000000000	 0.610721245401	597.752362582119	682.627609899317	 0.000000000000	 0.000000000000	10	1	-1	1	
 1.000000000000	 0.323532676900	970.572437268090	875.933859290055	 0.000000000000	 0.000000000000	4.9592	0.498461	-1	0	
 2.000000000000	 0.522711037427	296.799530209002	431.756644361148	 0.000000000000	 0.000000000000	1.73111	0.387596	-0	0	
 2.000000000000	 0.144033647958	619.248911449328	945.626686294238	 0.000000000000	 0.000000000000	10	1	-0	1	
 2.000000000000	 0.255089395170	352.904071039011	710.131324541868	 0.000000000000	 0.000000000000	10	1	-0	1	
 1.000000000000	 0.775657492898	488.845788832550	442.550898417284	 0.000000000000	 0.000000000000	10	1	-1	1	
 2.000000000000	 0.308773278659	437.286846657615	909.309072911091	 0.000000000000	 0.000000000000	10	1	-0	1	
 1.000000000000	 0.598762067790	529.434180485636	119.819086611556	 0.000000000000	 0.000000000000	10	1	-1	1	
 1.000000000000	 0.541872803784	521.746898628183	412.208796594645	 0.000000000000	 0.000000000000	10	1	-1	1	
 1.000000000000	 0.001083826469	287.457586488913	707.497290475548	 0.000000000000	 0.000000000000	10	1	-1	1	
 2.000000000000	 0.075413883893	544.990572392870	983.310602910130	 0.000000000000	 0.000000000000	10	1	-0	1	
 1.000000000000	 0.434231617810	457.106529743991	776.243837624855	 0.000000000000	 0.000000000000	3.36793	0.314402	-1	0	
 2.000000000000	 0.567229052863	889.811573222819	206.585671155291	 0.000000000000	 0.000000000000	1.13883	0.494998	-0	0	
 1.000000000000	 0.954894844422	154.579863811636	611.800735696794	 0.000000000000	 0.000000000000	10	1	-1	2	



#Generation 2 / 200
currentGen	2
evaluateCount	100
totalTime	36.0945
firstFrontCount	18
frontCount	6
avgEvalTime	0.950234
#end
Var1	Var2	Var3	Var4	Var5	Var6	Obj1	Obj2	Obj3	Cons1	
 2.000000000000	 0.540901345968	855.509422131701	363.563493687315	 0.000000000000	 0.000000000000	1.49144	0.425442	-0	0	
 2.000000000000	 0.485200771355	525.355815274895	297.825215679962	 0.000000000000	 0.000000000000	1.39683	0.439252	-0	0	
 2.000000000000	 0.522711037427	296.799530209002	431.756644361148	 0.000000000000	 0.000000000000	1.73111	0.387596	-0	0	
 2.000000000000	 0.567229052863	889.811573222819	206.585671155291	 0.000000000000	 0.000000000000	1.13883	0.494998	-0	0	
 1.000000000000	 0.512444645309	357.696300544754	352.080670756391	 0.000000000000	 0.000000000000	2.23	0.290177	-1	0	
 2.000000000000	 0.669288686230	818.385913641255	281.152835494127	 0.000000000000	 0.000000000000	1.22924	0.462654	-0	0	
 2.000000000000	 0.485200771355	507.958448381521	433.935711993366	 0.000000000000	 0.000000000000	1.76612	0.384908	-0	0	
 2.000000000000	 0.416929129396	525.355815274895	520.138289054511	 0.000000000000	 0.000000000000	2.04404	0.347265	-0	0	
 2.000000000000	 0.422765843334	522.093140393501	361.758468071938	 0.000000000000	 0.000000000000	1.61373	0.413957	-0	0	
 2.000000000000	 0.723387807611	864.194749440985	524.346720268332	 0.000000000000	 0.000000000000	1.88479	0.377706	-0	0	
 2.000000000000	 0.472878129433	517.756421648818	316.065751190585	 0.000000000000	 0.000000000000	1.45452	0.432247	-0	0	
 2.000000000000	 0.480196337080	475.870979851267	573.976765074371	 0.000000000000	 0.000000000000	2.14414	0.326577	-0	0	
 2.000000000000	 0.429360946250	212.520741667528	560.547977816050	 0.000000000000	 0.000000000000	2.14268	0.331323	-0	0	
 2.000000000000	 0.481622891449	600.544835613569	339.916626558023	 0.000000000000	 0.000000000000	1.51433	0.423332	-0	0	
 2.000000000000	 0.714552443518	949.782797898489	506.628531004748	 0.000000000000	 0.000000000000	1.83624	0.380027	-0	0	
 1.000000000000	 0.377137636849	421.401298464980	675.060192880094	 0.000000000000	 0.000000000000	3.01635	0.26922	-1	0	
 2.000000000000	 0.372765588437	509.648710426901	504.643347345479	 0.000000000000	 0.000000000000	2.02917	0.355441	-0	0	
 1.000000000000	 0.451223783824	420.227660956193	747.609112346472	 0.000000000000	 0.000000000000	3.2353	0.235198	-1	0	
